Time_Stamp,Invoice_Amount
2019-09-04,18464.64
2019-09-14,36794.82
2019-09-24,19656.480000000003
2019-10-04,576.0
2019-10-14,6018.16
2019-10-24,82506.22
2019-11-03,62784.84
2019-11-13,145938.84000000003
2019-11-23,3542.0
2019-12-03,512.96
2019-12-13,87425.88
2019-12-23,30739.239999999998
2020-01-02,73844.62
2020-01-12,39869.58
2020-01-22,415884.16000000003
2020-02-01,30602.22
2020-02-11,32969.12
2020-02-21,80118.73
2020-03-02,167898.0
2020-03-12,255606.6
2020-03-22,89999.12
2020-04-01,37892.43
2020-04-11,231282.88
2020-04-21,74754.06
2020-05-01,169860.26
2020-05-11,242439.96999999997
2020-05-21,94241.52
2020-05-31,150015.76
2020-06-10,293910.92
2020-06-20,38527.08
2020-06-30,30696.51
2020-07-10,165710.52
2020-07-20,227728.72
2020-07-30,25334.65
2020-08-09,60319.23
2020-08-19,93998.42
2020-08-29,180063.8
2020-09-08,256777.32
2020-09-18,85550.06
2020-09-28,22610.95
2020-10-08,171637.61
2020-10-18,160455.18
2020-10-28,239650.07
2020-11-07,102061.21
2020-11-17,22696.32
2020-11-27,87425.88
2020-12-07,87425.88
2020-12-17,155062.39
2020-12-27,134221.12
2021-01-06,127833.12
2021-01-16,215611.4
2021-01-26,79915.37
2021-02-05,41209.200000000004
2021-02-15,229052.48
2021-02-25,46277.22
2021-03-07,68547.35
2021-03-17,159593.68
2021-03-27,4971.66
2021-04-06,159066.1
2021-04-16,215581.54
2021-04-26,41894.46
2021-05-06,42002.04
2021-05-16,227975.15999999997
2021-05-26,27653.94
2021-06-05,60913.34
2021-06-15,257121.94
2021-06-25,693.75
2021-07-05,171233.22
2021-07-15,244365.61
2021-07-25,98146.07
2021-08-04,17184.56
2021-08-14,173284.56
2021-08-24,201453.18
2021-09-03,43359.43
2021-09-13,314428.31
2021-09-23,37361.8
2021-10-03,185866.58000000002
2021-10-13,107226.34999999999
2021-10-23,60420.0
2021-11-02,180608.85
2021-11-12,98499.91
2021-11-22,44731.53
2021-12-02,6687.75
2021-12-12,766.6
2021-12-22,148738.91
2022-01-01,149326.63
2022-01-11,215091.64
2022-01-21,87425.88
2022-01-31,59159.770000000004
2022-02-10,248120.72
2022-02-20,68393.72
2022-03-02,69421.83
2022-03-12,175195.09000000003
2022-03-22,67749.31
2022-04-01,31778.33
2022-04-11,293414.44
2022-04-21,12377.55
2022-05-01,218684.18
2022-05-11,113527.1
2022-05-21,11569.95
2022-05-31,125059.61
2022-06-10,155595.51
2022-06-20,88078.63
2022-06-30,257564.91
2022-07-10,78999.35
2022-07-20,3552.75
2022-07-30,51749.259999999995
2022-08-09,250245.96
2022-08-19,138579.23
2022-08-29,10851.34
2022-09-08,328222.32
2022-09-18,25076.879999999997
2022-09-28,45887.840000000004
2022-10-08,280073.77999999997
2022-10-18,1891.26
2022-10-28,8529.03
2022-11-07,479969.27999999997
2022-11-17,42930.05
2022-11-27,9980.73
2022-12-07,87425.88
2022-12-17,219062.22
2022-12-27,149845.01
2023-01-06,159500.36
2023-01-16,177226.74000000002
2023-01-26,40840.69
2023-02-05,1122.07
2023-02-15,275057.13
2023-02-25,27195.36
2023-03-07,359350.17
2023-03-17,4354.35
2023-03-27,10038.03
2023-04-06,336178.56
2023-04-16,7304.0
2023-04-26,5764.610000000001
2023-05-06,287788.75
2023-05-16,2191.0
2023-05-26,7011.0
2023-06-05,98314.75
2023-06-15,313660.08999999997
2023-06-25,3659.05
2023-07-05,44111.7
2023-07-15,191624.78999999998
2023-07-25,106142.73
2023-08-04,338511.08999999997
2023-08-14,44929.85
